word,synonyms,is_original
clarify,"explain, for, interpret, account",False
clean,"tidy, smart, neat",False
clear,"definite, determined, certain, sure, positive, obvious",False
close,shut,True
coast,"walk, jog, stir, slide, inch, race, journey, plug, trip, slip, go, run, breeze, move, sail, tear, ride, fly, drag, hurry, travel, wing, cruise, flow",False
coat,jacket,True
cold,freezing,True
collect,"score, fetch, secure, find, obtain, bag, earn, rep, up, gain, acquire, pick, accept, get, catch, win, come, net, by",False
come,"approach, advance, near, arrive, reach",True
comic,"funny, amusing, silly",False
command,"deliver, sing, inform, thunder, declare, tell, suppose, train, content, announce, show, issue, scream, pronounce, state, direct, order, voice, deny, explain, advise, repeat, reveal, express, assure, speak, insist, teach",False
commence,"open, initiate, launch, start, begin",False
common,"favorite, current, popular",False
competent,capable,True
complete,finish,True
concern,"worry, trouble, effort, pain, difficulty, danger",False
connect,join,True
consider,"think, believe, judge",False
considerable,"great, important, much, principal, powerful, essential, necessary, valuable, well-known, primary, significant, famous",False
construct,"effect, form, create, manufacture, earn, obtain, invent, develop, build, gain, acquire, perform, make, do, produce, get, design",False
contain,"occupy, own, fill, have, believe, gain, acquire, bear, enjoy, hold",False
content,"deliver, sing, inform, thunder, declare, command, suppose, train, announce, issue, scream, pronounce, state, direct, order, voice, deny, explain, advise, reveal, express, assure, speak, insist, teach",False
cool,"chilly, cold, icy",True
cope,manage,True
correct,"good, proper, right, suitable, just, fair, legal, accurate, honest",False
cover,"screen, hide",False
crash,accident,True
create,"effect, form, obtain, manufacture, earn, invent, develop, build, gain, acquire, perform, construct, make, do, produce, get, design",False
crop,"reduce, cut, slice",False
cross,"unfriendly, unpleasant, wrong, defective, horrible, nasty, rank, gross, bad",False
cruise,"fly, wing, sail, coast",False
cry,"shout, scream",True
curious,"attractive, lively, strange, unusual, animated, bright, keen, spicy, exciting, irregular, fascinating, sharp, intelligent, challenging, interesting",False
current,"favorite, unusual, popular, original, new, common, recent, modern, novel, fresh",False
cut,"slice, crop, reduce",True
dad,father,False
damage,"hurt, injure, pain",False
danger,"worry, trouble, effort, pain, difficulty, concern",False
dark,"black, sad",True
dead,"uninteresting, plain, stupid, boring, dull, slow",False
dear,expensive,True
decide,"settle, choose, resolve",True
declare,"deliver, sing, inform, thunder, tell, command, suppose, train, content, announce, show, issue, scream, pronounce, state, direct, order, voice, deny, explain, advise, repeat, reveal, express, assure, speak, insist, teach",False
defective,"unfriendly, unpleasant, wrong, cross, horrible, nasty, rank, gross, bad",False
definite,"certain, sure, positive, determined, clear, obvious",True
delicious,enjoyable,True
delighted,"cheerful, happy, satisfied, pleased, glad, gay",False
deliver,"sing, inform, thunder, declare, command, suppose, train, content, announce, issue, scream, pronounce, state, direct, order, voice, deny, explain, advise, reveal, express, assure, speak, insist, teach",False
demand,"inquire, ask, expect, of, request, put, to, examine, from, query, quiz, information, question",False
demonstrate,"display, prove, note, exhibit, point, reveal, show, indicate, to, present, explain",False
deny,"deliver, sing, inform, thunder, declare, command, suppose, train, content, announce, issue, scream, pronounce, state, direct, order, voice, explain, advise, reveal, express, assure, speak, insist, teach",False
depart,leave,True
depressed,"unhappy, poor, sad, miserable, uncomfortable",False
describe,"picture, represent, report, record",True
design,"effect, create, map, develop, acquire, perform, arrangement, make, get, draw, method, manufacture, build, construct, diagram, way, form, plan, invent, gain, procedure, obtain, earn, do, produce, scheme",False
destroy,"ruin, waste, kill, end",True
determined,"definite, certain, sure, clear, positive, obvious",False
develop,"effect, form, create, manufacture, earn, obtain, invent, build, gain, acquire, perform, construct, make, do, produce, get, design",False
diagram,"method, plan, map, arrangement, procedure, scheme, draw, design, way",False
difficult,hard,True
difficulty,"worry, trouble, effort, pain, concern, danger",False
direct,"deliver, sing, inform, thunder, declare, command, suppose, train, content, announce, issue, scream, pronounce, state, order, voice, deny, explain, advise, reveal, express, assure, speak, insist, teach",False
disappear,"depart, move, travel, go",False
discover,"recognize, find, for, see, view, sight, witness, watch, eye, glance, search, survey, notice, explore, examine, study, spy, observe, peer, inspect, look",False
dislike,hate,False
display,"prove, point, note, exhibit, reveal, show, indicate, to, present, demonstrate, explain",False
do,"carry, out, finish, effect, achieve",True
down,below,True
drag,"walk, jog, coast, stir, slide, inch, race, journey, plug, trip, slip, go, run, breeze, move, sail, tear, ride, hurry, travel, flow",False
draw,"method, plan, map, arrangement, procedure, diagram, scheme, design, way",False
drop,fall,False
dull,"boring, uninteresting, slow, stupid, dead, plain",True
eager,"keen, enthusiastic, interested, alive, to",True
earn,"effect, find, create, develop, acquire, perform, make, get, net, score, manufacture, rep, build, pick, construct, come, collect, fetch, form, invent, gain, win, bag, secure, obtain, up, accept, do, produce, catch, design, by",False
earth,ground,True
easy,simple,True
effect,"create, develop, keep, acquire, perform, attach, ticket, make, get, out, place, label, manufacture, achieve, build, construct, notice, finish, form, invent, gain, sign, put, stamp, price, carry, note, obtain, earn, set, establish, do, save, produce, impress, design, brand, mark",False
effort,"worry, trouble, pain, difficulty, concern, danger",False
embarrassed,shy,False
employ,"exercise, spend, use",False
empty,blank,False
encourage,"help, attend, on, wait, benefit, back, support, serve",False
end,"stop, finish, close",True
enjoy,"in, be, pleased, in, in, in, like",True
enjoyable,delicious,False
enormous,huge,True
enquire,ask,False
enthusiastic,"eager, keen, to, alive, interested",False
escape,"race, run, speed, hurry",False
essential,"well-known, important, principal, valuable, necessary, considerable, primary, significant, famous",False
establish,"effect, keep, set, achieve, build, put, attach, do, save, place",False
every,all,False
exact,"proper, steady, actual, right, valid, accurate, loyal, genuine, real",False
examine,"recognize, for, expect, of, see, to, discover, view, witness, sight, watch, inquire, eye, glance, request, search, survey, notice, information, question, explore, put, study, quiz, spy, observe, demand, ask, peer, inspect, from, query, look",False
excellent,"capable, good, proper, pleasant, satisfactory, great, suitable, valid, generous, friendly, reliable, superior, qualified, genuine, helpful, kindly, fine, safe, profitable, wonderful",False
excited,"mad, angry, furious",False
exciting,"attractive, lively, animated, curious, bright, keen, spicy, fascinating, sharp, intelligent, challenging, interesting",False
exercise,"employ, spend, use",False
exhibit,"display, prove, note, point, reveal, show, indicate, to, present, demonstrate, explain",False
expect,"inquire, demand, ask, of, request, put, to, examine, from, query, quiz, information, question",False
expensive,dear,False
explain,"clarify, interpret, account, for",True
explore,"observe, recognize, for, eye, peer, sight, see, glance, search, examine, survey, inspect, discover, notice, view, study, witness, watch, spy, look",False
express,"deliver, sing, inform, thunder, declare, command, suppose, train, content, announce, issue, scream, pronounce, state, direct, order, voice, deny, explain, advise, reveal, assure, speak, insist, teach",False
expression,word,False
extra,additional,True
extraordinary,"unbelievable, incredible, fantastic, amazing, wonderful",False
extremely,very,False
eye,"observe, recognize, for, peer, sight, see, explore, glance, search, examine, survey, inspect, discover, notice, view, study, witness, watch, spy, look",False
fair,"just, objective, honest",True
fall,drop,True
famous,well-known,True
fancy,"care, for, admire, love, like",False
fantastic,great,True
fascinating,"attractive, lively, animated, curious, bright, keen, spicy, exciting, sharp, intelligent, challenging, interesting",False
fast,"quick, rapid, fleet, quickly, like",True
fat,full,True
father,dad,True
favorite,"current, common, popular",False
fear,alarm,True
fetch,"score, bag, secure, find, obtain, earn, rep, up, gain, acquire, pick, accept, by, get, catch, win, come, net, collect",False
fill,"occupy, own, have, believe, acquire, gain, contain, bear, enjoy, hold",False
find,discover,True
fine,"beautiful, proper, pleasant, gorgeous, superior, qualified, pretty, safe, capable, great, valid, reliable, magnificent, lovely, attractive, satisfactory, handsome, suitable, fair, friendly, profitable, helpful, good, generous, genuine, kindly, excellent, wonderful",False
finish,"carry, effect, close, achieve, quit, stay, stop, do, end, complete, out, pause",False
fix,mend,True
fleet,"fast, rapid, like, quickly, quick",False
flow,"walk, jog, coast, stir, slide, inch, race, journey, plug, trip, slip, go, run, breeze, move, sail, tear, ride, drag, hurry, travel",False
fly,"wing, coast, sail, cruise",True
for,"recognize, see, clarify, discover, view, sight, witness, watch, fancy, eye, interpret, glance, search, survey, notice, admire, account, explore, love, examine, like, study, explain, spy, observe, care, peer, inspect, look",False
forest,jungle,False
forgive,pardon,True
form,"effect, obtain, create, manufacture, earn, invent, develop, build, gain, acquire, perform, construct, make, do, produce, get, design",False
former,previous,True
fortunate,lucky,False
freezing,cold,False
fresh,new,True
friendly,"capable, good, proper, pleasant, satisfactory, great, suitable, valid, generous, reliable, superior, qualified, genuine, helpful, kindly, fine, safe, profitable, excellent, wonderful",False
frightened,"worried, afraid, terrified, shy, scared, shocked",False
frightening,"plain, unpleasant, horrible, shocking, ugly, gross",False
from,"inquire, demand, ask, expect, of, request, put, to, examine, query, quiz, information, question",False
full,fat,False
funny,"amusing, comic, silly",True
furious,angry,True
gain,obtain,True
gay,"cheerful, happy, satisfied, pleased, glad, delighted",False
generally,usually,False
generous,"capable, good, proper, pleasant, satisfactory, great, suitable, valid, friendly, reliable, superior, qualified, genuine, helpful, kindly, fine, safe, profitable, excellent, wonderful",False
genuine,"proper, pleasant, superior, qualified, real, safe, capable, exact, great, right, valid, reliable, fine, satisfactory, steady, suitable, friendly, accurate, loyal, profitable, helpful, good, actual, generous, kindly, excellent, wonderful",False
get,"acquire, obtain, secure, gain, fetch, find, score, win, earn, rep, catch, net, bag, collect, pick, up, accept, come, by",True
gift,present,True
glad,"cheerful, happy, satisfied, pleased, delighted, gay",False
glance,"observe, recognize, for, eye, peer, sight, see, explore, search, examine, survey, inspect, discover, notice, view, study, witness, watch, spy, look",False
go,"depart, disappear, move, travel",True
good,"excellent, fine, superior, wonderful, qualified, suitable, proper, capable, generous, kindly, friendly, pleasant, satisfactory, reliable, safe, profitable, helpful, valid, genuine, great",True
gorgeous,"beautiful, attractive, handsome, fair, magnificent, lovely, pretty, fine",False
gradual,"late, behind, slow",False
great,"considerable, powerful, much",True
gross,"rude, low",True
ground,earth,False
guarantee,assure,False
handsome,"beautiful, attractive, fair, gorgeous, magnificent, lovely, pretty, fine",False
happen,occur,False
happy,"pleased, satisfied, delighted, cheerful, gay, glad",True
hard,difficult,False
hat,cap,True
hate,dislike,True
have,"hold, own, contain, acquire, gain, believe, bear, occupy, fill, enjoy",True
hear,listen,False
help,"support, encourage, back, wait, on, attend, serve, benefit",True
helpful,"proper, pleasant, superior, qualified, safe, capable, great, valid, reliable, fine, satisfactory, suitable, kind, friendly, profitable, good, generous, genuine, kindly, excellent, wonderful",False
hesitate,pause,False
hide,"cover, screen",True
highway,street,False
hold,"own, have, keep, believe, acquire, buy, contain, enjoy, steal, pick, choose, select, bear, remove, rob, retain, lift, gain, purchase, win, take, occupy, fill, prefer, support, catch",False
home,house,False
honest,"good, proper, right, suitable, just, fair, objective, legal, accurate, correct",False
horrible,"plain, unfriendly, unpleasant, wrong, defective, cross, nasty, frightening, shocking, ugly, rank, gross, bad",False
house,home,True
huge,"great, broad, substantial, tall, enormous, big, large",False
hurry,"run, speed, race",True
hurt,"damage, injure, pain",True
icy,"cool, cold, chilly",False
idea,"thought, opinion, plan, view",True
ill,sick,False
important,"necessary, valuable, essential, significant, primary, principal, considerable, famous, well-known",True
impress,"price, effect, note, sign, ticket, notice, stamp, brand, mark, label",False
in,"be, in, pleased, like, enjoy",False
inch,"walk, jog, coast, stir, slide, race, journey, plug, trip, slip, go, run, breeze, move, sail, tear, ride, drag, hurry, travel, flow",False
incorrect,wrong,False
incredible,"unbelievable, extraordinary, fantastic, amazing, wonderful",False
indicate,"display, prove, note, exhibit, point, reveal, show, to, present, demonstrate, explain",False
inform,"advise, explain, reveal, declare, command, order, insist, teach, train, direct, issue, speak, suppose, express, voice, pronounce, deliver, state, sing, thunder, scream, announce, content, assure, deny",True
information,"inquire, demand, ask, expect, of, request, put, to, examine, from, query, quiz, question",False
initiate,"open, commence, launch, start, begin",False
injure,"hurt, pain, damage",False
inquire,"demand, inquire, ask, expect, of, request, put, to, examine, from, query, quiz, information, question",False
insist,"deliver, sing, inform, thunder, declare, command, suppose, train, content, announce, issue, scream, pronounce, state, direct, order, voice, deny, explain, advise, reveal, express, assure, speak, teach",False
inspect,examine,True
intelligent,"attractive, lively, animated, smart, bright, keen, spicy, exciting, curious, fascinating, brilliant, sharp, challenging, interesting, shiny",False
interested,"eager, enthusiastic, keen, to, alive",False
interesting,"fascinating, sharp, keen, bright, intelligent, animated, attractive, challenging, exciting, lively, spicy, curious",True
interpret,"explain, clarify, for, account",False
invent,"effect, form, create, manufacture, earn, obtain, develop, build, gain, acquire, perform, construct, make, do, produce, get, design",False
irregular,"strange, unusual, curious",False
issue,"deliver, sing, inform, thunder, declare, command, suppose, train, content, announce, scream, pronounce, state, direct, order, voice, deny, explain, advise, reveal, express, assure, speak, insist, teach",False
jacket,coat,False
jam,"problem, spot",False
job,career,True
jog,"walk, coast, stir, slide, inch, race, journey, plug, trip, slip, go, run, breeze, move, sail, tear, ride, drag, hurry, travel, flow",False
join,connect,False
journey,"walk, jog, coast, stir, slide, inch, race, plug, trip, slip, go, run, breeze, move, sail, tear, ride, drag, hurry, travel, flow",False
judge,"consider, think, believe",False
jungle,forest,True
just,"good, proper, right, suitable, fair, objective, legal, accurate, honest, correct",False
keen,"attractive, lively, eager, intelligent, enthusiastic, animated, curious, bright, spicy, exciting, to, alive, fascinating, sharp, interested, challenging, interesting",False
keep,"hold, retain, support",True
kid,child,False
kill,"murder, destroy, cancel",True
kind,helpful,True
kindly,"capable, good, proper, pleasant, satisfactory, great, suitable, valid, generous, friendly, reliable, superior, qualified, genuine, helpful, fine, safe, profitable, excellent, wonderful",False
label,"price, effect, note, sign, ticket, notice, impress, stamp, brand, mark",False
lady,woman,False
large,"huge, great, broad, substantial, tall, enormous, big",False
late,"behind, gradual, slow",False
launch,"open, initiate, commence, start, begin",False
law,rule,False
learn,study,True
leave,depart,False
lecture,speech,False
legal,"good, proper, right, suitable, just, fair, accurate, honest, correct",False
lift,"remove, rob, purchase, take, occupy, buy, steal, raise, acquire, pick, choose, prefer, select, catch, win, hold",False
like,prefer,True
limited,"small, slight, tiny, little, minute",False
listen,hear,True
little,"tiny, small, limited, slight, minute",True
lively,"attractive, animated, curious, bright, keen, spicy, exciting, fascinating, sharp, intelligent, challenging, interesting",False
location,"site, state, spot, set, station, region, position, situation, place, space, area",False
look,"see, glance, watch, survey, study, search, for, examine, inspect, observe, view, witness, spy, sight, discover, notice, recognize, peer, eye, explore",True
loud,noisy,True
love,"like, admire, fancy, care, for",True
lovely,"beautiful, attractive, handsome, fair, gorgeous, magnificent, pretty, fine",False
low,"gross, rude",False
loyal,"proper, exact, actual, steady, right, valid, accurate, genuine, real",False
lucky,fortunate,True
mad,"excited, angry, furious",False
magnificent,"beautiful, attractive, handsome, fair, gorgeous, lovely, pretty, fine",False
make,"create, invent, form, construct, design, manufacture, produce, build, develop, do, effect, perform, earn, gain, obtain, acquire, get",True
manage,cope,False
manufacture,"effect, form, create, obtain, earn, invent, develop, build, gain, acquire, perform, construct, make, do, produce, get, design",False
map,"method, plan, arrangement, procedure, diagram, scheme, draw, design, way",False
mark,"label, price, ticket, impress, effect, stamp, brand, sign, note, notice",True
mature,"old, ancient, aged, traditional, former, old-fashioned, weak",False
mend,fix,False
method,"plan, map, arrangement, procedure, diagram, scheme, draw, design, way",False
middle,center,False
mild,"quiet, smooth, still, peaceful, calm",False
minute,"limited, small, slight, tiny, little",False
miserable,"unhappy, poor, sad, depressed, uncomfortable",False
modern,"current, unusual, original, new, recent, novel, fresh",False
move,"go, inch, drag, walk, jog, plug, run, trip, tear, breeze, race, hurry, stir, travel, journey, ride, slip, slide, coast, flow, sail",True
much,"considerable, powerful, great",False
murder,"cancel, destroy, kill",False
nasty,"unfriendly, unpleasant, wrong, defective, cross, horrible, rank, gross, bad",False
near,"approach, advance, arrive, come, reach",False
nearly,almost,True
neat,"clean, tidy, smart",True
necessary,"well-known, important, principal, essential, valuable, considerable, primary, significant, famous",False
net,"score, fetch, secure, find, obtain, bag, earn, rep, up, gain, acquire, pick, accept, by, get, catch, win, come, collect",False
new,"fresh, original, unusual, novel, modern, current, recent",True
noisy,loud,False
note,"effect, to, ticket, label, display, exhibit, show, notice, prove, point, sign, indicate, present, stamp, demonstrate, explain, price, reveal, impress, brand, mark",False
notice,"recognize, effect, for, see, discover, ticket, view, sight, witness, watch, label, eye, glance, search, survey, explore, sign, examine, stamp, study, spy, observe, price, note, peer, inspect, impress, brand, mark, look",False
novel,"current, unusual, original, new, recent, modern, fresh",False
objective,"just, fair, honest",False
observe,"recognize, for, eye, peer, sight, see, explore, glance, search, examine, survey, inspect, discover, notice, view, study, witness, watch, spy, look",False
obtain,"effect, find, create, develop, acquire, perform, make, get, net, score, manufacture, rep, build, pick, construct, come, collect, fetch, form, invent, gain, win, bag, secure, earn, up, accept, do, produce, catch, design, by",False
obvious,"definite, determined, certain, sure, clear, positive",False
occupy,"own, have, believe, buy, acquire, contain, enjoy, hold, steal, pick, choose, select, bear, remove, rob, lift, gain, purchase, win, take, fill, prefer, catch",False
occur,happen,True
of,"inquire, demand, ask, expect, request, put, to, examine, from, query, quiz, information, question",False
old,"ancient, weak, aged, former, old-fashioned, mature, traditional",True
old-fashioned,"old, ancient, aged, traditional, mature, former, weak",False
on,"help, attend, wait, encourage, benefit, back, support, serve",False
open,"initiate, commence, launch, start, begin",False
opinion,"idea, thought, plan, view",False
opportunity,chance,True
order,"deliver, sing, inform, thunder, declare, command, tell, suppose, train, content, announce, show, issue, scream, pronounce, state, direct, voice, deny, explain, advise, repeat, reveal, express, assure, speak, insist, teach",False
original,"current, unusual, new, recent, modern, novel, fresh",False
out,"carry, effect, achieve, perform, do, finish",False
own,"occupy, fill, have, believe, gain, acquire, contain, bear, enjoy, hold",False
page,sheet,True
pain,"worry, damage, trouble, hurt, effort, difficulty, concern, injure, danger",False
pardon,forgive,False
part,"share, piece, section",True
pause,hesitate,True
peaceful,"quiet, smooth, still, mild, silent, calm",False
peer,"observe, recognize, for, eye, sight, see, explore, glance, search, examine, survey, inspect, discover, notice, view, study, witness, watch, spy, look",False
perform,"carry, out",True
permit,allow,False
pick,"find, buy, acquire, get, net, hold, score, rep, steal, choose, select, come, collect, remove, fetch, rob, lift, gain, purchase, win, bag, secure, obtain, take, earn, occupy, up, accept, prefer, catch, by",False
picture,"represent, report, describe, record",False
piece,"share, section, part",False
place,"space, area, spot, region, location, situation, position, set, site, station, state",True
plain,"uninteresting, stupid, unpleasant, boring, dead, dull, horrible, shocking, ugly, frightening, gross, slow",False
plan,"scheme, design, draw, map, diagram, procedure, arrangement, method, way",True
pleasant,"capable, good, proper, satisfactory, great, suitable, valid, generous, friendly, reliable, superior, qualified, genuine, helpful, kindly, fine, safe, profitable, excellent, wonderful",False
pleased,"be, cheerful, happy, in, like, satisfied, glad, delighted, enjoy, gay",False
plug,"walk, jog, coast, stir, slide, inch, race, journey, trip, slip, go, run, breeze, move, sail, tear, ride, drag, hurry, travel, flow",False
point,"display, prove, note, exhibit, reveal, show, indicate, to, present, demonstrate, explain",False
poor,"unhappy, terrible, unpleasant, awful, depressed, sad, miserable, bad, uncomfortable",False
popular,"favorite, common, current",True
position,"site, state, spot, set, station, region, location, situation, place, space, area",False
positive,"definite, determined, certain, sure, clear, obvious",False
powerful,"considerable, great, much",False
prefer,"remove, rob, purchase, take, lift, occupy, buy, steal, acquire, pick, choose, like, select, catch, win, hold",False
present,"display, prove, note, exhibit, point, gift, reveal, show, indicate, to, demonstrate, explain",False
pretty,beautiful,True
previous,former,False
price,"effect, note, sign, ticket, notice, impress, stamp, brand, mark, label",False
primary,"well-known, important, principal, essential, valuable, necessary, considerable, significant, famous",False
principal,"well-known, important, essential, valuable, necessary, considerable, primary, significant, famous",False
problem,"spot, jam",True
procedure,"method, plan, map, arrangement, diagram, scheme, draw, design, way",False
produce,"effect, form, create, manufacture, earn, obtain, invent, develop, build, gain, acquire, perform, construct, make, do, get, design",False
profitable,"capable, good, proper, pleasant, satisfactory, great, suitable, valid, generous, friendly, reliable, superior, qualified, genuine, helpful, kindly, fine, safe, excellent, wonderful",False
pronounce,"deliver, sing, inform, thunder, declare, command, suppose, train, content, announce, issue, scream, state, direct, order, voice, deny, explain, advise, reveal, express, assure, speak, insist, teach",False
proper,"pleasant, superior, qualified, real, safe, capable, exact, great, right, valid, reliable, fine, satisfactory, steady, suitable, just, fair, friendly, legal, accurate, loyal, correct, profitable, helpful, good, actual, generous, honest, genuine, kindly, excellent, wonderful",False
propose,suggest,False
prove,"display, note, exhibit, point, reveal, show, indicate, to, present, demonstrate, explain",False
purchase,"remove, rob, take, lift, occupy, buy, steal, acquire, pick, choose, prefer, select, catch, win, hold",False
purpose,aim,False
put,"place, set, attach, establish, keep, save, set, effect, achieve, do, build",True
qualified,"capable, good, proper, pleasant, satisfactory, great, suitable, valid, generous, friendly, reliable, superior, genuine, helpful, kindly, fine, safe, profitable, excellent, wonderful",False
quantity,amount,False
query,"inquire, demand, ask, expect, of, request, put, to, examine, from, quiz, information, question",False
question,"inquire, demand, ask, expect, of, request, put, to, examine, from, query, quiz, information, question",False
quick,"fast, rapid, fleet, like, quickly",False
quickly,"fast, rapid, fleet, like, quick",False
quiet,"silent, still, peaceful, calm",True
quit,"stop, end, finish, stay, pause",False
quite,pretty,True
quiz,"inquire, demand, ask, expect, of, request, put, to, examine, from, query, information, question",False
race,"walk, jog, coast, stir, escape, slide, inch, journey, plug, trip, speed, slip, go, run, breeze, move, sail, tear, ride, drag, hurry, travel, flow",False
raise,lift,True
rank,"unfriendly, unpleasant, wrong, defective, cross, horrible, nasty, gross, bad",False
rapid,"fast, fleet, like, quickly, quick",False
reach,"approach, near, advance, arrive, come",False
real,"proper, exact, actual, steady, right, valid, accurate, loyal, genuine",False
receive,get,True
recent,"current, unusual, original, new, modern, novel, fresh",False
recognize,"observe, for, eye, peer, sight, see, explore, glance, search, examine, survey, inspect, discover, notice, view, study, witness, watch, spy, look",False
record,"report, account, picture, describe, write, story, represent",False
reduce,"crop, cut, slice",False
refuse,reject,False
region,"site, state, spot, set, station, location, position, situation, place, space, area",False
reject,refuse,True
relax,rest,False
reliable,"capable, good, proper, pleasant, satisfactory, great, suitable, valid, generous, friendly, superior, qualified, genuine, helpful, kindly, fine, safe, profitable, excellent, wonderful",False
remove,"rob, purchase, take, lift, occupy, buy, steal, acquire, pick, choose, prefer, select, catch, win, hold",False
renew,resume,True
rep,"score, fetch, secure, find, obtain, bag, earn, up, gain, acquire, pick, accept, by, get, catch, win, come, net, collect",False
repeat,"order, inform, reveal, show, tell, declare, command, explain, advise",False
reply,"answer, respond, acknowledge",False
report,"represent, picture, describe, record",False
represent,"report, record, picture, describe",False
request,"inquire, demand, ask, expect, of, put, to, examine, from, query, quiz, information, question",False
rescue,save,True
resolve,"choose, decide, settle",False
respond,answer,True
rest,relax,True
resume,renew,False
retain,"support, keep, hold",False
